"species_name_network","kingdom"
"Impatiens glandulifera","Plantae"
"Eryngium campestre","Plantae"
"Impatiens noli-tangere","Plantae"
"Impatiens parviflora","Plantae"
"Alliaria petiolata","Plantae"
"Geranium robertianum","Plantae"
"Lamiastrum galeobdolon","Plantae"
"Azolla filiculoides","Plantae"
"Mentha longifolia","Plantae"
"Gleditsia triacanthos","Plantae"
"Cicadella viridis","Animalia"
"Eurygaster testudinaria","Animalia"
"Eurygaster maura","Animalia"
"Chrysolina sturmi","Animalia"
"Tytthaspis sedecimpunctata","Animalia"
"Rhopalus parumpunctatus","Animalia"
"Stictopleurus abutilon","Animalia"
"Propylea quatuordecimpunctata","Animalia"
"Himacerus mirmicoides","Animalia"
"Orthops kalmii","Animalia"
"Stictocephala bisonia","Animalia"
"Dipsacus fullonum","Plantae"
"Scabiosa ochroleuca","Plantae"
"Conium maculatum","Plantae"
"Eupatorium cannabinum","Plantae"
"Corylus avellana","Plantae"
"Aquilegia vulgaris","Plantae"
"Leontopodium nivale ex","Plantae"
"Lapsana communis","Plantae"
"Ricinus communis","Plantae"
"Carlina acaulis","Plantae"
"Pulsatilla vulgaris","Plantae"
"Dictamnus albus","Plantae"
"Ornithogalum umbellatum","Plantae"
"Cardamine pratensis","Plantae"
"Prunella vulgaris","Plantae"
"Colchicum autumnale","Plantae"
"Heliotropium europaeum","Plantae"
"Aegopodium podagraria","Plantae"
"Alliaria petiolata","Plantae"
"Achillea ptarmica","Plantae"
"Solidago virgaurea","Plantae"
"Argentina anserina","Plantae"
"Ficaria verna","Plantae"
"Stenactis annua","Plantae"
"Anoplotrupes stercorosus","Animalia"
"Dryas octopetala","Plantae"
"Vicia sepium","Plantae"
"Reseda lutea","Plantae"
"Veronica persica","Plantae"
"Taraxacum offcinale","Plantae"
"Silene latifolia","Plantae"
"Galega officinalis","Plantae"
"Empetrum nigrum","Plantae"
"Cardaria draba","Plantae"
"Ricinus communis","Plantae"
"Quercus robur","Plantae"
"Stachys sylvatica","Plantae"
"Cirsium oleraceum","Plantae"
"Robinia pseudoacacia","Plantae"
"Morus alba","Plantae"
"Bistorta officinalis","Plantae"
"Euphydryas aurinia","Animalia"
"Silene vulgaris","Plantae"
"Pteridium aquilinum","Plantae"
"Datura stramonium","Plantae"
"Eryngium maritimum","Plantae"
"Sedum album","Plantae"
"Euphorbia amygdaloides","Plantae"
"Prunus spinosa","Plantae"
"Stellaria holostea","Plantae"
"Chaerophyllum temulum","Plantae"
"Veronica beccabunga","Plantae"
"Vincetoxicum hirundinaria","Plantae"
"Stellaria nemorum","Plantae"
"Myosoton aquaticum","Plantae"
"Equisetum telmateia","Plantae"
"Tussilago farfara","Plantae"
"Vicia sylvatica","Plantae"
"Campanula glomerata","Plantae"
"Campanula persicifolia","Plantae"
"Stachys alpina","Plantae"
"Cirsium eriophorum","Plantae"
"Lamium maculatum","Plantae"
"Lamium album","Plantae"
"Helianthemum nummularium","Plantae"
"Canna indica","Plantae"
"Lychnis flos-cuculi","Plantae"
"Potentilla anserina","Plantae"
"Anthyllis vulneraria","Plantae"
"Lathyrus pratensis","Plantae"
"Primula veris","Plantae"
"Thymus pulegioides","Plantae"
"Centaurium erythraea","Plantae"
"Sanguisorba minor","Plantae"
"Ononis spinosa","Plantae"
"Clinopodium vulgare","Plantae"
"Veronica persica","Plantae"
"Tanacetum parthenium","Plantae"
"Medicago lupulina","Plantae"
"Heliotropium europaeum","Plantae"
"Lathyrus tuberosus","Plantae"
"Pilosella aurantiaca","Plantae"
"Juglans regia","Plantae"
"Equisetum arvense","Plantae"
"Cruciata glabra","Plantae"
"Lysimachia vulgaris","Plantae"
"Galium aparine","Plantae"
"Taxus baccata","Plantae"
"Lonicera xylosteum","Plantae"
"Chorthippus parallelus","Animalia"
"Cicindela campestris","Animalia"
"Adelphocoris seticornis","Animalia"
"Stenobothrus lineatus","Animalia"
"Tetrix subulata","Animalia"
"Chorthippus dorsatus","Animalia"
"Chorthippus albomarginatus","Animalia"
"Chorthippus apricarius","Animalia"
"Chorthippus biguttulus","Animalia"
"Artemisia vulgaris","Plantae"
"Persicaria bistorta","Plantae"
"Clinopodium acinos","Plantae"
"Linum catharticum","Plantae"
"Dactylorhiza praetermissa","Plantae"
"Dactylorhiza purpurella","Plantae"
"Arnica montana","Plantae"
"Cruciata laevipes","Plantae"
"Galium aparine","Plantae"
"Euphorbia palustris","Plantae"
"Cymbalaria muralis","Plantae"
"Galinsoga quadriradiata","Plantae"
"Clinopodium vulgare","Plantae"
"Dipsacus pilosus","Plantae"
"Lycopus europaeus","Plantae"
"Plantago media","Plantae"
"Verbascum blattaria","Plantae"
"Parnassia palustris","Plantae"
"Euphorbia cyparissias","Plantae"
"Nymphaea alba","Plantae"
"Galium odoratum","Plantae"
"Dianthus carthusianorum","Plantae"
"Ficaria verna","Plantae"
"Butomus umbellatus","Plantae"
"Daphne mezereum","Plantae"
"Gentiana asclepiadea","Plantae"
"Lathraea squamaria","Plantae"
"Ailanthus altissima","Plantae"
"Ambrosia artemisiifolia","Plantae"
"Cornus mas","Plantae"
"Dactylis glomerata","Plantae"
"Symphytum officinale","Plantae"
"Lepidium draba","Plantae"
"Crambe maritima","Plantae"
"Betonica officinalis","Plantae"
"Securigera varia","Plantae"
"Saponaria officinalis","Plantae"
"Nymphoides peltata","Plantae"
"Impatiens balfourii","Plantae"
"Genista sagittalis","Plantae"
"Inula helenium","Plantae"
"Mimas tiliae","Animalia"
"Euphorbia marginata","Plantae"
"Rumex conglomeratus","Plantae"
"Periplaneta americana","Animalia"
"Plantago major","Plantae"
"Canis familiaris","Animalia"
"Galanthus nivalis","Plantae"
"Filipendula vulgaris","Plantae"
"Euthystira brachyptera","Animalia"
"Oiceoptoma thoracicum","Animalia"
"Nicrophorus vespillo","Animalia"
"Sorex minutus","Animalia"
"Chorthippus brunneus","Animalia"
"Cassiope tetragona","Plantae"
"Althaea officinalis","Plantae"
"Apodemus sylvaticus","Animalia"
"Stachys arvensis","Plantae"
"Symphytum officinale","Plantae"
"Berteroa incana","Plantae"
"Lithospermum purpurocaeruleum","Plantae"
"Genista tinctoria","Plantae"
"Vinca minor","Plantae"
"Saxifraga aizoides","Plantae"
"Solanum dulcamara","Plantae"
"Tragopogon pratensis","Plantae"
"Nuphar lutea","Plantae"
"Rhinanthus minor","Plantae"
"Anacamptis morio","Plantae"
"Silene acaulis","Plantae"
"Silene flos-cuculi","Plantae"
"Juniperus communis","Plantae"
"Rabelera holostea","Plantae"
"Narcissus poeticus","Plantae"
"Muscari comosum","Plantae"
"Chenopodium spathulatum","Plantae"
